pid,condition,conditionType,status,totalTime,attemptsQuiz,attemptsQuiz2,age,gender,trialTimeMean,cheatTrials,expectedScoreMean,pa_mean,pa_complete,pa_et
0,0,flowchart,6,-,1,2,-,-,,0,,,[],[]
1,0,flowchart,3,18.9,1,5,38,female,27.5,0,3.3,0.5426,"[0.25, 0.636, 0.714, 0.857, 0.273, 0.8, 0.714, 0.364, 0.636, 0.182]","[3.0, 0, 0, 0, 5.0, 0, 0, 3.0, 0, 5.0]"
2,0,flowchart,4,11.7,1,1,28,Male,31.1,0,5.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,0,flowchart,4,8.7,1,1,18,Female,25.1,0,9.8,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,0,flowchart,4,14.4,1,3,25,Male,19.8,0,5.5,0.5791,"[0.833, 0.4, 0.429, 0.625, 1.0, 0.333, 0.4, 0.2, 0.571, 1.0]","[0, 2.0, 3.0, 3.0, 0, 3.0, 3.0, 3.0, 3.0, 0]"
5,0,flowchart,4,34.0,1,3,55,Male,56.2,0,9.9,0.4514,"[0.6, 0.0, 0.714, 0.25, 0.5, 0.8, 0.25, 0.8, 0.4, 0.2]","[0, 2.0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,0,flowchart,4,10.3,1,1,29,Female,29.4,0,11.4,0.925,"[0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,0,flowchart,4,11.9,2,2,36,Female,18.6,1,6.7,0.4734,"[0.0, 0.462, 0.714, 0.556, 0.273, 0.182, 0.8, 0.667, 0.636, 0.444]","[6.017, 0, 0, 0, 5.0, 5.0, 0, 0, 0, 0]"
8,0,flowchart,4,7.1,1,1,-,-,19.4,0,3.3,0.5122,"[0.5, 0.222, 1.0, 1.0, 0.2, 0.571, 0.429, 0.571, 0.2, 0.429]","[3.0, 5.0, 0, 0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]"
9,0,flowchart,4,10.6,1,5,30,female,21.7,0,3.3,0.879,"[0.833, 1.0, 0.857, 1.0, 0.9, 0.2, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 3.0, 0, 0, 0, 0]"
10,0,flowchart,4,14.3,1,2,27,female.,37.9,0,4.6,0.9038,"[0.538, 0.667, 1.0, 0.833, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,0,flowchart,4,9.7,1,1,20,female,29.2,0,9.2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,0,flowchart,4,14.8,1,1,34,male,36.5,0,4.4,0.6788,"[0.75, 0.667, 0.75, 0.4, 0.571, 0.4, 1.0, 1.0, 1.0, 0.25]","[0, 3.0, 0, 3.0, 3.0, 3.0, 0, 0, 0, 3.0]"
13,0,flowchart,4,19.5,1,4,-,-,70.2,0,4.9,0.3948,"[0.556, 0.833, 0.5, 0.166, 0.333, 0.429, 0.181, 0.5, 0.2, 0.25]","[3.0, 0, 3.0, 5.009, 3.0, 3.0, 4.511, 3.0, 3.0, 3.0]"
14,0,flowchart,4,8.4,1,1,27,male,19.0,0,6.6,0.8886,"[1.0, 0.833, 1.0, 0.875, 1.0, 0.8, 0.778, 1.0, 0.8, 0.8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,0,flowchart,4,20.4,1,1,27,Male,62.6,0,2.7,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,0,flowchart,4,15.5,1,2,39,female,31.7,0,1.6,0.5174,"[0.8, 0.8, 0.429, 0.5, 0.269, 0.75, 0.335, 0.6, 0.429, 0.262]","[0, 0, 3.0, 0, 5.443, 0, 3.979, 0, 4.0, 5.624]"
17,0,flowchart,4,9.1,1,1,30,female,20.8,0,4.4,0.5361,"[0.333, 0.286, 0.571, 1.0, 0.571, 0.2, 0.2, 1.0, 0.2, 1.0]","[3.0, 4.0, 3.0, 0, 3.0, 3.0, 3.0, 0, 3.0, 0]"
18,0,flowchart,4,11.3,2,2,-,-,30.0,0,4.0,0.4669,"[1.0, 0.571, 0.211, 0.2, 0.429, 0.2, 0.429, 1.0, 0.429, 0.2]","[0, 2.0, 6.489, 3.0, 3.0, 3.0, 3.0, 0, 3.0, 3.0]"
19,0,flowchart,4,12.7,1,2,46,female,34.0,0,4.8,0.755,"[0.25, 0.4, 1.0, 0.5, 1.0, 0.4, 1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 0, 3.0, 0, 3.0, 0, 0, 0, 0]"
20,0,flowchart,4,15.0,1,2,41,Male,27.2,0,5.2,0.5983,"[0.714, 0.857, 0.429, 0.6, 0.545, 0.4, 0.571, 0.4, 0.667, 0.8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,0,flowchart,4,15.1,1,2,28,Male,14.8,0,3.8,0.3511,"[0.615, 0.385, 0.385, 0.308, 0.319, 0.154, 0.143, 0.286, 0.8, 0.116]","[0, 0, 0, 3.491, 4.268, 4.489, 0, 4.0, 0, 7.62]"
22,1,instructions,4,12.4,1,1,39,female,23.5,0,10.0,0.8128,"[0.875, 1.0, 0.333, 1.0, 0.5, 1.0, 1.0, 1.0, 0.42, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 5.522, 0]"
23,1,instructions,4,8.1,1,2,-,-,14.3,0,7.8,0.9233,"[1.0, 0.4, 1.0, 1.0, 0.833, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 2.0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,1,instructions,4,7.9,2,1,46,male,18.2,0,11.3,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,1,instructions,4,8.6,1,1,22,Male,21.6,0,10.2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,1,instructions,3,11.3,1,1,62,female,25.5,0,2.6,0.6709,"[1.0, 0.319, 0.334, 1.0, 0.152, 0.271, 1.0, 0.833, 0.8, 1.0]","[0, 4.261, 3.993, 0, 5.563, 5.384, 0, 0, 0, 0]"
27,1,instructions,4,5.6,2,3,19,Male,15.2,0,6.7,0.9714,"[0.714, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,1,instructions,4,7.3,1,1,27,Male,16.7,0,8.2,0.9187,"[0.354, 1.0, 0.833, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.479, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,1,instructions,4,7.8,1,1,46,male,17.4,0,7.7,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,1,instructions,4,11.0,1,1,42,Female,19.7,0,6.7,0.92,"[0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,1,instructions,4,8.3,1,1,31,female,20.5,0,6.1,0.5709,"[0.2, 0.875, 1.0, 1.0, 0.538, 0.556, 0.417, 0.3, 0.285, 0.538]","[0, 0, 0, 0, 0, 0, 0, 3.012, 2.512, 0]"
32,1,instructions,4,9.6,1,1,22,Female,23.2,0,1.0,0.8152,"[1.0, 0.348, 0.6, 1.0, 0.857, 0.347, 1.0, 1.0, 1.0, 1.0]","[0, 5.621, 2.0, 0, 0, 5.639, 0, 0, 0, 0]"
33,1,instructions,4,10.7,1,3,36,female,23.8,0,4.7,0.8924,"[0.667, 0.857, 1.0, 0.8, 0.8, 0.8, 1.0, 1.0, 1.0, 1.0]","[2.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,1,instructions,4,8.5,1,1,45,female,21.7,0,7.1,0.975,"[1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,1,instructions,4,20.2,1,4,47,Female,24.1,0,2.7,0.855,"[0.462, 1.0, 1.0, 0.667, 1.0, 1.0, 0.421, 1.0, 1.0, 1.0]","[0, 0, 0, 2.0, 0, 0, 5.508, 0, 0, 0]"
36,1,instructions,4,14.6,3,2,30,male,22.7,0,3.2,0.4144,"[0.4, 0.333, 0.25, 0.25, 0.385, 0.556, 0.364, 0.25, 0.8, 0.556]","[2.0, 3.0, 3.0, 3.0, 0, 0, 3.0, 3.0, 0, 0]"
37,1,instructions,4,5.4,1,1,49,Female,14.7,0,6.2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,1,instructions,4,8.5,1,3,41,Female,15.9,1,5.0,0.2695,"[0.154, 0.0, 0.077, 0.385, 0.308, 0.571, 0.4, 0.2, 0.2, 0.4]","[0, 5.296, 0, 0, 0, 0, 0, 0, 0, 0]"
39,1,instructions,4,6.0,1,1,-,-,16.6,0,7.6,0.8946,"[0.353, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.593]","[5.51, 0, 0, 0, 0, 0, 0, 0, 0, 2.74]"
40,1,instructions,4,9.7,1,1,43,Male,24.3,0,6.2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,1,instructions,4,11.1,1,1,65,female,25.1,0,8.2,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,1,instructions,4,15.3,1,1,37,Male,37.2,0,8.6,0.9857,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.857, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
