pid;#1;#2;#conflict;mortgageChoice;mortgagePrompt
77;1;1;0;1;{'Q0': 'Choose the loan that offers the lowest interest rate for the next 19 years.', 'Q1': 'I chose this as this is the best option for the long term.  It will take time to pay off a mortgage and you need to think specially about these years.'}
205;1;1;0;1;{'Q0': 'first choose lowest interest rate', 'Q1': 'calculate total cost of theborrowing'}
120;1;1;0;1;{'Q0': 'I would choose the loan with the best rate for the 19 years.', 'Q1': 'In the long run, I will pay a heck of a lot less in interest if I choose the long term best option.'}
126;0;0;0;0;{'Q0': 'price', 'Q1': 'mathttp://mrkennedy.pbworks.com/w/file/fetch/73301780/MCV4U%20Chapter%206%20solutions.pdf'}
48;1;1;0;1;{'Q0': 'I would choose the option that saves me the most money.', 'Q1': 'I picked the one that in the long run would save me the most money.'}
173;-1;0;0;-1;
118;1;1;0;1;"{'Q0': ""the average over 19 years would be what's worth considering"", 'Q1': 'the lowest overall payment'}"
208;0;0;0;0;{'Q0': 'I would pick the one with the most consistent interest rate ', 'Q1': 'i picked the one with the same rate to avoid a higer interest'}
5;0;0;0;0;{'Q0': 'I would have to determine which interest rate would suit my needs knowing that this is for the next 19 years', 'Q1': 'I think that the loan that I chose had the best bang for my buck'}
137;0;0;0;0;{'Q0': 'the lowest rates I would pick', 'Q1': 'by the low rates'}
45;1;1;0;1;{'Q0': 'the next 19 years', 'Q1': 'Certainty. The one for nineteen years gives me certainty for at least 19 years.'}
161;0;0;0;0;{'Q0': 'I would look and forecast the one that has the most consistent rates. Not a lot of fluctuation with the markets. ', 'Q1': 'By reviewing the rates and how they will fluctuate going forward. '}
229;-1;0;0;-1;
133;1;1;0;1;"{'Q0': 'Whichever has the best rate for the last 19 years.', 'Q1': ""I, personally, have a stable income. It's easier to base payments on the long run.""}"
44;1;1;0;1;{'Q0': 'I would try to select the mortgage that has the lowest interest rate over the longest period of time.', 'Q1': 'A lower interest rate should result in savings over time.'}
91;0;0;0;0;{'Q0': 'I would see what the rates are and make my decision.', 'Q1': 'It would be the one that has the lower interest rates.'}
107;-1;0;0;-1;
68;0;0;0;0;{'Q0': 'I would probably choose which loan had the least expensive interest rate.', 'Q1': 'I would consider how much of a down payment I could afford and how the different interest rates might affect my credit score.'}
53;0;0;0;0;{'Q0': 'The first year', 'Q1': '1 year is a good time.'}
194;1;1;0;1;{'Q0': 'next 19 years', 'Q1': 'Longer period future planning'}
193;1;1;0;1;{'Q0': 'I would choose whichever has the lowest interest rate for the 19 years. And preferably a low interest for the single year as well.', 'Q1': 'Whichever has the lowest interest rate for the 19 years.'}
183;1;1;0;1;{'Q0': 'I would love to have a planned mortgage so I would take the most stable one. I would chose the 19 years.', 'Q1': 'I want to know what is going to happen next. But without the interest rates, this is difficult.'}
225;-1;0;0;-1;
134;0;0;0;0;{'Q0': 'I would take in consideration the reliability of the bank and if would honor the variable rates', 'Q1': 'Ask for consideration/advice of a mortgage broker'}
167;0;0;0;0;{'Q0': 'go with the lowest interest rate', 'Q1': 'go with the lowest interest rate'}
57;1;1;0;1;{'Q0': 'I would choose whichever had the best rate over time.', 'Q1': 'By doing the math and finding out how much each loan would cost me in interest.'}
55;0;0;0;0;"{'Q0': 'I would choose the mortgage loan that is closest to my preferred interest rate and terms.', 'Q1': ""If I didn't like any of the three mortgage loans, I would look for an alternative. ""}"
221;-1;0;0;-1;
114;-1;0;0;-1;
27;1;1;0;1;{'Q0': 'I would choose interest rate for the 19 years since longer duration loans typically have lower interest rates. ', 'Q1': 'Longer duration loans typically have less interest rate on them. '}
163;0;0;0;0;"{'Q0': ""Honestly, I'd probably seek expert advice as it's not an area I understand well. "", 'Q1': 'Knowing my personal limitations. '}"
90;1;1;0;1;{'Q0': 'I would choose the one with the lowest interest rate over the next 19 years. ', 'Q1': 'The one with the lowest interest rate over the next 19 years would provide the best value. '}
63;0;0;0;0;"{'Q0': 'I would compare the rate schedules for each loan and try to estimate which one would be the easiest to pay off given where I expect to be at each point in time.', 'Q1': ""I'd prefer a mortgage with the highest up front interest costs, so I can get as much out of the way early on in the process.""}"
47;0;0;0;0;"{'Q0': 'the first month is the best', 'Q1': ""I don't want to subject payments to economic volatility""}"
179;1;1;0;1;{'Q0': 'I would compare the cumulative interests of each interest rate for the entire mortgage duration.', 'Q1': 'I would choose the interest rate with the least total interest for the entire mortgage duration.'}
165;0;0;0;0;{'Q0': 'I would choose whichever of the choices have the lowest interest rates.', 'Q1': 'The mortgage with the lowest interest rate would be the most ideal.\n'}
95;1;1;0;1;{'Q0': 'lowest interest', 'Q1': 'paying the lowest amount of interest over time'}
50;0;0;0;0;{'Q0': 'I would compare the interest rates.', 'Q1': 'I would choose the lowest interest rate.'}
190;0;1;0;0;"{'Q0': 'Whichever accrues the least amount of interest.', 'Q1': ""The one that I'd have to pay the least for unnecessarily.\n""}"
40;1;1;0;1;"{'Q0': ""I'd work out the total cost of the loan over the full 20 years for each mortagage, and choose the one with the lowest. There'd also be concerns as to how much I could afford to pay in interest in the early stages of the loans, too. "", 'Q1': 'On the basis of cost over the full term. '}"
105;-1;0;0;-1;
217;1;1;0;1;{'Q0': 'I would choose the lowest rate for the 19 years', 'Q1': 'I will paying longer so I would want the interest to be lower'}
201;0;0;0;0;{'Q0': 'Middle', 'Q1': 'Middle is best'}
135;1;1;0;1;{'Q0': 'I would choose the mortgage loan that had the lowest 19 year rate.', 'Q1': 'Long-term savings.'}
15;0;0;0;0;{'Q0': 'I would calculate which one will be value for money and whether or not i will be able to earn enough to pay it off. I would pick the one in the first month.', 'Q1': 'I like to get things over and done with and therefore pick the short one as i would not need to worry about it later.'}
28;1;1;0;1;{'Q0': 'I would chose whichever loan would best suit my long term goals. For example: would it help build equity, can I pay it off early without penalty, etc.', 'Q1': 'With my long term financial goals in mind.'}
34;1;1;0;1;{'Q0': 'The one with the lowest overall interest rate', 'Q1': 'I would calculate which mortgage charges the least interest'}
96;1;1;0;1;{'Q0': 'I would choose the one that has the overall lowest interest rate for the entire mortgage period.', 'Q1': 'Which one has the lowest overall interest rate after all things considered.'}
11;1;1;0;1;{'Q0': 'I would choose the cheapest the next 19 years', 'Q1': 'I would like to know what i paying over a longer period so I can plan'}
43;0;0;0;0;{'Q0': 'Who has the lowest overall APR, taking into consideration the differences in the parts of the mortgage.', 'Q1': 'The lowest average APR, taking the time differences into account.'}
25;0;0;0;0;{'Q0': 'I would choose the lowest interest rate. ', 'Q1': 'I would decide which mortgage is best by assessing which one would be paid off in the least amount of time.'}
106;-1;0;0;-1;
207;1;1;0;1;{'Q0': 'I would consider my income and approximately how long it would take me to pay off the mortgage. ', 'Q1': 'I would pick the mortgage loan that has the best interest rate for the next 19 years. '}
101;0;0;0;0;{'Q0': 'It depends on what the rates are.', 'Q1': 'I would compare the rates.'}
119;0;0;0;0;{'Q0': 'Whichever one has the lowest interest rate', 'Q1': 'Whichever one saves me the most money'}
8;0;0;0;0;{'Q0': 'I would choose the most advantageous interest rate, this seems a little vague without the actual interest rates. ', 'Q1': 'Whichever has the lower interest rate'}
166;1;1;0;1;{'Q0': 'I need to know how long I will have to carry this mortgage, what the payment will be. Which one cost me the least interest', 'Q1': 'I need to do the calculation and understand how many years I will carry this mortgage and then choose the mortgage with the least interest cost'}
182;0;0;0;0;{'Q0': 'I would choose the lowest interest rate.', 'Q1': 'I chose the lowest interest rate. '}
220;-1;0;0;-1;
159;0;0;0;0;{'Q0': 'I would choose the one with the lowest interest rate', 'Q1': 'how much would be my monthly payment'}
143;1;1;0;1;"{'Q0': 'I would calculate the total cost at the end of the 20 years and choose the most reasonable one.', 'Q1': 'The best one would be a combination of the cheapest and the most easy to pay back; I would not choose a mortgage that was extremely high or extremely low during one of the three periods, because that would be hard to pay back during that specific period of time.'}"
142;-1;0;0;-1;
74;1;1;0;1;"{'Q0': ""I'd pick whichever mortgage I both could afford at the time and would cost me the least amount of money overall. "", 'Q1': 'Total cost and my current financial situation. '}"
62;1;1;0;1;{'Q0': 'I WILL CHOOSE BEST ONE', 'Q1': '19 YEARS BOND MORTGAGE'}
228;-1;0;0;-1;
197;1;1;0;1;{'Q0': 'Talk to an expert. Also, see which would be the most beneficial in the long run.', 'Q1': 'Looking at which one will cost me the least in the long run.'}
39;1;1;0;1;{'Q0': 'I would choose the mortgage over 19 years, it would allow me to see a better picture of the life of the loan.', 'Q1': 'Based on projections of how the loan will be over a long period of time.'}
181;1;1;0;1;{'Q0': 'i would see who has the lowest interest rate over the period of time', 'Q1': 'i based it on how much interest i would pay in the long term'}
110;0;0;0;0;
94;0;0;0;0;{'Q0': 'i would choose the one with the lowest interest rates', 'Q1': 'by comparing each one and seeing which works best for me'}
29;1;1;0;1;{'Q0': 'I would look at my present, future and way into the future.', 'Q1': 'I would choose the option which demonstrated a good interest rate for the long term. '}
65;0;0;0;0;{'Q0': 'I would choose the loan with the lowest interest rate for each, the first month, the remainder of the first year and the next 19 years.', 'Q1': 'I would choose the mortgage that best suites my current budget without having to pay the loan back over the longest period of time. '}
122;1;1;0;1;{'Q0': 'id choose the one that resulted in paying the least interest ', 'Q1': 'by figuring out the final interest paid. '}
174;-1;0;0;-1;
136;1;1;0;1;{'Q0': 'I would choose the one with the lowest interest rate for the next 19 years, because that would save me more money in the long run. ', 'Q1': 'I thought about which would cost me more in the long run. '}
37;1;1;0;1;{'Q0': 'I would calculate out which one would save me the most money over time', 'Q1': 'the one that will save me the most money would be best'}
61;0;0;0;0;{'Q0': 'Based on the stability of the finances of the rest of my life (debt load, ability to pay, different sources of income, etc)', 'Q1': 'By looking at the mortgage as a piece of the rest of my financial picture.'}
156;1;1;0;1;{'Q0': 'I would choose the one with the lowest interest rate for the next 19 years.', 'Q1': 'I chose this one because in the long run it would cost the least.'}
149;1;1;0;1;{'Q0': 'I would choose the one which generated the least interest overall, so probably the 19 years one, since I will be paying it off for 30 years anyway.', 'Q1': 'Whichever one requires the least amount of increased money to be paid in the longhaul.'}
3;1;1;0;1;{'Q0': 'I would choose the one that had the lowest interest rate for the 19 years', 'Q1': 'I feel that would save me the most because its the longest time frame'}
0;0;0;0;0;"{'Q0': ""I'd consider the companies that are offering these loans along with what suits my current position in life."", 'Q1': ""I'd decide by seeing which mortgage is most convenient to me given my circumstances.""}"
83;1;1;0;1;{'Q0': 'I would choose the loan that would incur me to pay as little interest over all years combined, even with varying rates.', 'Q1': 'I chose the one that would accrue the least interest possible over time so I am not overpaying on my mortgage. '}
59;1;1;0;1;{'Q0': 'I would compare the two side by side and determine which one has the best pros out of the cons.', 'Q1': 'I would decide which one is the most cost effective over the long run. '}
49;1;1;0;1;{'Q0': 'I would choose the one which would be cheaper in the long run. By doing math and calculating how much I would have paid over the next 5 years, 10 years, and 19 years I can choose which one would be most beneficial in the long run. ', 'Q1': 'I would choose the one which costs me the least over time, rather than whatever one is just cheaper for me at the moment. '}
84;1;1;0;1;{'Q0': 'Lowest overall interest', 'Q1': 'Lowest overall interest over the longest period of time'}
89;1;1;0;1;{'Q0': 'I would first determine how long I was likely to live in the house.  Then depending on my answer, I would compute the differences in things like the actual interest rate, the amount of interest I would pay, the monthly payment, the amount of principal that would be paid back over the timeframe, etc. and then go from there.', 'Q1': 'By performing the calculations I described above.  The net is I would choose the loan with the best interest rate that would result in a monthly payment that fit comfortably in my budget for the timespan I am planning to live in the home and pay off the highest amount of principal possible in that timeframe.'}
192;1;1;0;1;{'Q0': 'Assess the financial situation in the near, short, and long term with respect to interest rates, and calculate the total amount due for each option at the end of 20 years', 'Q1': 'Calculating the total cost of the mortgage to be paid at the end of the 20 years of payment'}
73;0;0;0;0;"{'Q0': 'the  remainder of the first year', 'Q1': ""i don't want to choose too close one or too far one, suitable time  is good.""}"
227;-1;0;0;-1;
32;0;0;0;0;{'Q0': 'I would choose the first year.', 'Q1': 'I believe that The first year would give me time to execute the loan.'}
148;1;1;0;1;{'Q0': 'I would pick the most lowest 19 year mortgage', 'Q1': 'Most predictable and lowest'}
175;1;1;0;1;{'Q0': 'I would like at the overall payment amount and compare which one is going to save me the most money.', 'Q1': 'I would choose the loan with the cheapest overall interest rate.'}
20;0;0;0;0;{'Q0': 'I would choose the one with the lowest interest rates', 'Q1': 'The one that is more in my budget'}
99;1;1;0;1;{'Q0': 'I want the mortgage rate that is best over the long term of 19 years. A month will pass quickly and be a small part of the overall cost.', 'Q1': 'I want the mortgage that will be the most stable over the length of time so I can budget successfully.'}
21;0;0;0;0;{'Q0': 'INTERESTING LOAN', 'Q1': 'GOOD TO CHOOSE'}
186;1;1;0;1;{'Q0': 'I would choose the one with the lowest interest rate or nineteen years', 'Q1': 'The nineteen year would be spread out more'}
189;1;1;0;1;{'Q0': 'The one with the lowest interest rate all together', 'Q1': 'The one I pay the least'}
147;-1;0;0;-1;
180;0;0;0;0;{'Q0': 'lowest interest rate', 'Q1': 'lowest interest rate'}
1;0;0;0;0;"{'Q0': ""I'd choose the one I could most easily afford in terms of the monthly payment."", 'Q1': ""right price and the rate won't change with time.""}"
42;0;0;0;0;{'Q0': 'I would choose the one that is cheapest and best suited for myself.', 'Q1': 'I would decide after evaluating each option for which one is best for myself.'}
226;1;1;0;1;"{'Q0': 'the long run. 19 yrs', 'Q1': ""it's more beneficial long term""}"
76;1;1;0;1;"{'Q0': 'Determine how much interest I would pay overall and depends on my financial situation at the time ', 'Q1': ""Mortgage rate and my financial situation (current and future) matter but also the lender matters - e.g. is it a well known bank or a small lender I've never heard of""}"
72;1;1;0;1;{'Q0': 'I would choose the interest rate that has the lowest long-term loan, in order to minimize the long-term interest I pay.', 'Q1': 'I decided that the mortgage with the lowest long-term rate is the best, as it will mean lower payments over the long term, even if it means higher short-term payments. '}
184;1;1;0;1;{'Q0': 'I would use an amortization calculator to select one that will have me paying the lowest interest rate over the entire mortgage. ', 'Q1': 'The one with the lowest interest paid over the entire mortgage. '}
171;1;1;0;1;{'Q0': 'I would try to choose the loan with the overall lowest interest rates.', 'Q1': 'I chose the mortgage with the overall lowest interest rates.'}
196;1;1;0;1;{'Q0': 'I would run the calculations to see which cost the least in the long run. ', 'Q1': 'Based on bottom line which one would cost me the least'}
128;0;0;0;0;{'Q0': 'I would choose the lowest fixed rate at all times.', 'Q1': 'Because fixed rate is the best option for any length loan.'}
203;0;0;0;0;{'Q0': 'lowest interest rates ', 'Q1': 'security of mortgage company '}
178;0;0;0;0;{'Q0': 'I would choose the one with the lowest interest rate.', 'Q1': 'I would just go with the lowest interest rate.'}
41;1;1;0;1;{'Q0': 'I would research the terms and figure out which would cause me to pay the least over time.', 'Q1': 'The one that had the best terms and cost the least over time was chosen.'}
10;1;1;0;1;{'Q0': 'would calculate the total cost', 'Q1': 'which ever cost the least over the full term'}
9;0;0;0;0;{'Q0': 'growth mindset', 'Q1': 'good'}
36;1;1;0;1;{'Q0': 'The loan that has the lowest interest rate for the 19 years.', 'Q1': 'The one that, in the end, helps save me money.'}
124;1;1;0;1;"{'Q0': 'I would choose the mortgage that had a fixed interest rate for 19 years', 'Q1': ""I wouldn't want to chance paying a variable rate if it was going to be higher than the rate I started out with.""}"
85;1;1;0;1;{'Q0': 'I would choose the mortgage that resulted in the least interest paid as long as I could afford it.', 'Q1': 'The best mortgage is one that I would pay the least total money toward.'}
172;0;0;0;0;{'Q0': 'I would make the decision based on how I earn money, my age, and future wage earning ', 'Q1': 'I would look closely at the interest rates'}
2;1;1;0;1;{'Q0': 'I would choose the rate with the lowest rate for the next 19 years ', 'Q1': 'Would prefer to pay a lower rater over time than right off the bat '}